Fecha,Día,Mes,Año,Semestre,Accesos,Vacaciones?
2024-11-26,26,11,2024,2,3296,0
2024-11-27,27,11,2024,2,3164,0
2024-11-28,28,11,2024,2,2862,0
2024-11-29,29,11,2024,2,2439,0
2024-11-30,30,11,2024,2,871,0
2024-12-01,1,12,2024,2,6,0
2024-12-02,2,12,2024,2,3166,0
2024-12-03,3,12,2024,2,2916,0
2024-12-04,4,12,2024,2,2965,0
2024-12-05,5,12,2024,2,2005,0
2024-12-06,6,12,2024,2,2033,0
2024-12-07,7,12,2024,2,475,0
2024-12-09,9,12,2024,2,1539,0
2024-12-10,10,12,2024,2,1410,0
2024-12-11,11,12,2024,2,1109,0
2024-12-12,12,12,2024,2,1020,0
2024-12-13,13,12,2024,2,651,0
2024-12-14,14,12,2024,2,316,0
2024-12-15,15,12,2024,2,1,0
2024-12-16,16,12,2024,2,881,0
2024-12-17,17,12,2024,2,584,0
2024-12-18,18,12,2024,2,320,0
2024-12-19,19,12,2024,2,166,0
2024-12-20,20,12,2024,2,186,0
2024-12-23,23,12,2024,2,127,0
2024-12-24,24,12,2024,2,14,0
2025-01-02,2,1,2025,0,65,0
2025-01-03,3,1,2025,0,96,0
2025-01-06,6,1,2025,0,575,0
2025-01-07,7,1,2025,0,609,0
2025-01-08,8,1,2025,0,684,0
2025-01-09,9,1,2025,0,619,0
2025-01-10,10,1,2025,0,403,0
2025-01-11,11,1,2025,0,139,0
2025-01-13,13,1,2025,0,627,0
2025-01-14,14,1,2025,0,698,0
2025-01-15,15,1,2025,0,641,0
2025-01-16,16,1,2025,0,684,0
2025-01-17,17,1,2025,0,334,0
2025-01-18,18,1,2025,0,71,0
2025-01-20,20,1,2025,0,636,0
2025-01-21,21,1,2025,0,596,0
2025-01-22,22,1,2025,0,625,0
2025-01-23,23,1,2025,0,533,0
2025-01-24,24,1,2025,0,541,0
2025-01-25,25,1,2025,0,186,0
2025-01-27,27,1,2025,0,561,0
2025-01-28,28,1,2025,0,364,0
2025-01-29,29,1,2025,0,234,0
2025-01-30,30,1,2025,0,147,0
2025-01-31,31,1,2025,0,59,0
2025-03-03,3,3,2025,1,237,0
2025-03-04,4,3,2025,1,208,0
2025-03-05,5,3,2025,1,244,0
2025-03-06,6,3,2025,1,467,0
2025-03-07,7,3,2025,1,246,0
2025-03-10,10,3,2025,1,2056,0
2025-03-11,11,3,2025,1,2076,0
2025-03-12,12,3,2025,1,2316,0
2025-03-13,13,3,2025,1,2343,0
2025-03-14,14,3,2025,1,1960,0
2025-03-15,15,3,2025,1,141,0
2025-03-17,17,3,2025,1,2410,0
2025-03-18,18,3,2025,1,2966,0
2025-03-19,19,3,2025,1,2930,0
2025-03-20,20,3,2025,1,2737,0
2025-03-21,21,3,2025,1,2262,0
2025-03-22,22,3,2025,1,222,0
2025-03-24,24,3,2025,1,3035,0
2025-03-25,25,3,2025,1,2947,0
2025-03-26,26,3,2025,1,2968,0
2025-03-27,27,3,2025,1,3325,0
2025-03-28,28,3,2025,1,2413,0
2025-03-29,29,3,2025,1,198,0
2025-03-31,31,3,2025,1,3373,0
2025-04-01,1,4,2025,1,3514,0
2025-04-02,2,4,2025,1,3695,0
2025-04-03,3,4,2025,1,3613,0
2025-04-04,4,4,2025,1,2610,0
2025-04-05,5,4,2025,1,603,0
2025-04-07,7,4,2025,1,3990,0
2025-04-08,8,4,2025,1,3923,0
2025-04-09,9,4,2025,1,4248,0
2025-04-10,10,4,2025,1,3976,0
2025-04-11,11,4,2025,1,3140,0
2025-04-12,12,4,2025,1,852,0
2025-04-13,13,4,2025,1,10,0
2025-04-14,14,4,2025,1,4218,0
2025-04-15,15,4,2025,1,4216,0
2025-04-16,16,4,2025,1,4145,0
2025-04-17,17,4,2025,1,1592,0
2025-04-21,21,4,2025,1,3841,0
2025-04-22,22,4,2025,1,3639,0
2025-04-23,23,4,2025,1,2867,0
2025-04-24,24,4,2025,1,2544,0
2025-04-25,25,4,2025,1,1356,0
2025-04-26,26,4,2025,1,526,0
2025-04-27,27,4,2025,1,4,0
2025-04-28,28,4,2025,1,2400,0
2025-04-29,29,4,2025,1,2568,0
2025-04-30,30,4,2025,1,1705,0
2025-05-05,5,5,2025,1,2750,0
2025-05-06,6,5,2025,1,1866,0
2025-05-07,7,5,2025,1,2254,0
